provincia,canton,fecha,activos
San José,Acosta,21/04/2020,0
San José,Acosta,22/04/2020,0
San José,Acosta,23/04/2020,0
San José,Acosta,24/04/2020,0
San José,Acosta,25/04/2020,0
San José,Acosta,26/04/2020,0
San José,Acosta,27/04/2020,0
San José,Acosta,28/04/2020,0
San José,Acosta,29/04/2020,0
San José,Acosta,30/04/2020,0
San José,Acosta,01/05/2020,0
San José,Acosta,02/05/2020,0
San José,Acosta,03/05/2020,0
San José,Acosta,04/05/2020,0
San José,Acosta,05/05/2020,0
San José,Acosta,06/05/2020,0
San José,Acosta,07/05/2020,0
San José,Acosta,08/05/2020,0
San José,Acosta,09/05/2020,0
San José,Acosta,10/05/2020,0
San José,Acosta,11/05/2020,0
San José,Acosta,12/05/2020,0
San José,Acosta,13/05/2020,0
San José,Acosta,14/05/2020,0
San José,Acosta,15/05/2020,0
San José,Acosta,16/05/2020,0
San José,Acosta,17/05/2020,0
San José,Acosta,18/05/2020,0
San José,Acosta,19/05/2020,0
San José,Acosta,20/05/2020,0
San José,Acosta,21/05/2020,0
San José,Acosta,22/05/2020,0
San José,Acosta,23/05/2020,0
San José,Acosta,24/05/2020,0
San José,Acosta,25/05/2020,0
San José,Acosta,26/05/2020,0
San José,Acosta,27/05/2020,0
San José,Acosta,28/05/2020,0
San José,Acosta,29/05/2020,0
San José,Acosta,30/05/2020,0
San José,Acosta,31/05/2020,0
San José,Acosta,01/06/2020,0
San José,Acosta,02/06/2020,0
San José,Acosta,03/06/2020,0
San José,Acosta,04/06/2020,0
San José,Acosta,05/06/2020,0
San José,Acosta,06/06/2020,0
San José,Acosta,07/06/2020,0
San José,Acosta,08/06/2020,0
San José,Acosta,09/06/2020,0
San José,Acosta,10/06/2020,0
San José,Acosta,11/06/2020,0
San José,Acosta,12/06/2020,0
San José,Acosta,13/06/2020,0
San José,Acosta,14/06/2020,0
San José,Acosta,15/06/2020,0
San José,Acosta,16/06/2020,0
San José,Acosta,17/06/2020,1
San José,Acosta,18/06/2020,1
San José,Acosta,19/06/2020,1
San José,Acosta,20/06/2020,1
San José,Acosta,21/06/2020,2
San José,Acosta,22/06/2020,2
San José,Acosta,23/06/2020,2
San José,Acosta,24/06/2020,2
San José,Acosta,25/06/2020,2
San José,Acosta,26/06/2020,2
San José,Acosta,27/06/2020,2
San José,Acosta,28/06/2020,2
San José,Acosta,29/06/2020,2
San José,Acosta,30/06/2020,2
San José,Acosta,01/07/2020,3
San José,Acosta,02/07/2020,3
San José,Acosta,03/07/2020,5
San José,Acosta,04/07/2020,6
San José,Acosta,05/07/2020,8
San José,Acosta,06/07/2020,8
San José,Acosta,07/07/2020,8
San José,Acosta,08/07/2020,18
San José,Acosta,09/07/2020,21
San José,Acosta,10/07/2020,21
San José,Acosta,11/07/2020,24
San José,Acosta,12/07/2020,24
San José,Acosta,13/07/2020,26
San José,Acosta,14/07/2020,26
San José,Acosta,15/07/2020,26
San José,Acosta,16/07/2020,26
San José,Acosta,17/07/2020,26
San José,Acosta,18/07/2020,28
San José,Acosta,19/07/2020,29
San José,Acosta,20/07/2020,31
San José,Acosta,21/07/2020,26
San José,Acosta,22/07/2020,22
San José,Acosta,23/07/2020,28
San José,Acosta,24/07/2020,28
San José,Acosta,25/07/2020,32
San José,Acosta,26/07/2020,32
San José,Acosta,27/07/2020,29
San José,Acosta,28/07/2020,30
San José,Acosta,29/07/2020,29
San José,Acosta,30/07/2020,34
San José,Acosta,31/07/2020,34
San José,Acosta,01/08/2020,30
San José,Acosta,02/08/2020,35
San José,Acosta,03/08/2020,38
San José,Acosta,04/08/2020,31
San José,Acosta,05/08/2020,30
San José,Acosta,06/08/2020,33
San José,Acosta,07/08/2020,33
San José,Acosta,08/08/2020,42
San José,Acosta,09/08/2020,41
San José,Acosta,10/08/2020,48
San José,Acosta,11/08/2020,58
San José,Acosta,12/08/2020,58
San José,Acosta,13/08/2020,68
San José,Acosta,14/08/2020,75
San José,Acosta,15/08/2020,83
San José,Acosta,16/08/2020,90
San José,Acosta,17/08/2020,95
San José,Acosta,18/08/2020,99
San José,Acosta,19/08/2020,112
San José,Acosta,20/08/2020,117
San José,Acosta,21/08/2020,122
San José,Acosta,22/08/2020,128
San José,Acosta,23/08/2020,133
San José,Acosta,24/08/2020,104
San José,Acosta,25/08/2020,107
San José,Acosta,26/08/2020,111
San José,Acosta,27/08/2020,116
San José,Acosta,28/08/2020,123
San José,Acosta,29/08/2020,128
San José,Acosta,30/08/2020,128
San José,Acosta,31/08/2020,138
San José,Acosta,01/09/2020,144
San José,Acosta,02/09/2020,153
San José,Acosta,03/09/2020,136
San José,Acosta,04/09/2020,139
San José,Acosta,05/09/2020,148
San José,Acosta,06/09/2020,153
San José,Acosta,07/09/2020,148
San José,Acosta,08/09/2020,155
San José,Acosta,09/09/2020,160
San José,Acosta,10/09/2020,162
San José,Acosta,11/09/2020,167
San José,Acosta,12/09/2020,177
San José,Acosta,13/09/2020,185
San José,Acosta,14/09/2020,200
San José,Acosta,15/09/2020,209
San José,Acosta,16/09/2020,214
San José,Acosta,17/09/2020,208
San José,Acosta,18/09/2020,214
San José,Acosta,19/09/2020,220
San José,Acosta,20/09/2020,227
San José,Acosta,21/09/2020,197
San José,Acosta,22/09/2020,206
San José,Acosta,23/09/2020,212
San José,Acosta,24/09/2020,221
San José,Acosta,25/09/2020,223
San José,Acosta,26/09/2020,229
San José,Acosta,27/09/2020,229
San José,Acosta,28/09/2020,234
San José,Acosta,29/09/2020,241
San José,Acosta,30/09/2020,183
San José,Acosta,01/10/2020,183
San José,Acosta,02/10/2020,165
San José,Acosta,03/10/2020,160
San José,Acosta,04/10/2020,162
San José,Acosta,05/10/2020,166
San José,Acosta,06/10/2020,171
San José,Acosta,07/10/2020,173
San José,Acosta,08/10/2020,119
San José,Acosta,09/10/2020,127
San José,Acosta,10/10/2020,129
San José,Acosta,11/10/2020,132
San José,Acosta,12/10/2020,139
San José,Acosta,13/10/2020,140
San José,Acosta,14/10/2020,145
San José,Acosta,15/10/2020,113
San José,Acosta,16/10/2020,117
San José,Acosta,17/10/2020,117
San José,Acosta,18/10/2020,117
San José,Acosta,19/10/2020,92
San José,Acosta,20/10/2020,102
San José,Acosta,21/10/2020,104
San José,Acosta,22/10/2020,108
San José,Acosta,23/10/2020,110
San José,Acosta,24/10/2020,113
San José,Acosta,25/10/2020,116
San José,Acosta,26/10/2020,102
San José,Acosta,27/10/2020,104
San José,Acosta,28/10/2020,108
San José,Acosta,29/10/2020,110
San José,Acosta,30/10/2020,114
San José,Acosta,31/10/2020,116
San José,Acosta,01/11/2020,121
San José,Acosta,02/11/2020,102
San José,Acosta,03/11/2020,106
San José,Acosta,04/11/2020,107
San José,Acosta,05/11/2020,111
San José,Acosta,06/11/2020,113
San José,Acosta,07/11/2020,112
San José,Acosta,08/11/2020,112
San José,Acosta,09/11/2020,71
San José,Acosta,10/11/2020,77
San José,Acosta,11/11/2020,78
San José,Acosta,12/11/2020,80
San José,Acosta,13/11/2020,86
San José,Acosta,14/11/2020,89
San José,Acosta,15/11/2020,91
San José,Acosta,16/11/2020,87
San José,Acosta,17/11/2020,89
San José,Acosta,18/11/2020,92
San José,Acosta,19/11/2020,95
San José,Acosta,20/11/2020,103
San José,Acosta,21/11/2020,110
San José,Acosta,22/11/2020,113
San José,Acosta,23/11/2020,94
San José,Acosta,24/11/2020,97
San José,Acosta,25/11/2020,99
San José,Acosta,26/11/2020,100
San José,Acosta,27/11/2020,112
San José,Acosta,28/11/2020,114
San José,Acosta,29/11/2020,117
San José,Acosta,30/11/2020,88
San José,Acosta,01/12/2020,88
San José,Acosta,02/12/2020,96
San José,Acosta,03/12/2020,96
San José,Acosta,04/12/2020,88
San José,Acosta,05/12/2020,86
San José,Acosta,06/12/2020,97
San José,Acosta,07/12/2020,106
San José,Acosta,08/12/2020,87
San José,Acosta,09/12/2020,88
San José,Acosta,10/12/2020,92
San José,Acosta,11/12/2020,95
San José,Acosta,12/12/2020,101
San José,Acosta,13/12/2020,103
San José,Acosta,14/12/2020,103
San José,Acosta,15/12/2020,105
San José,Acosta,16/12/2020,69
San José,Acosta,17/12/2020,68
San José,Acosta,18/12/2020,68
San José,Acosta,19/12/2020,69
San José,Acosta,20/12/2020,73
San José,Acosta,21/12/2020,57
San José,Acosta,22/12/2020,58
San José,Acosta,23/12/2020,61
San José,Acosta,24/12/2020,63
San José,Acosta,25/12/2020,66
San José,Acosta,26/12/2020,65
San José,Acosta,27/12/2020,68
San José,Acosta,28/12/2020,42
San José,Acosta,29/12/2020,44
San José,Acosta,30/12/2020,46
San José,Acosta,31/12/2020,47
San José,Acosta,01/01/2021,50
San José,Acosta,02/01/2021,51
San José,Acosta,03/01/2021,52
San José,Acosta,04/01/2021,55
San José,Acosta,05/01/2021,57
San José,Acosta,06/01/2021,54
San José,Acosta,07/01/2021,57
San José,Acosta,08/01/2021,59
San José,Acosta,09/01/2021,60
San José,Acosta,10/01/2021,62
San José,Acosta,11/01/2021,49
San José,Acosta,12/01/2021,48
San José,Acosta,13/01/2021,49
San José,Acosta,14/01/2021,51
San José,Acosta,15/01/2021,53
San José,Acosta,16/01/2021,54
San José,Acosta,17/01/2021,55
San José,Acosta,18/01/2021,56
San José,Acosta,19/01/2021,48
San José,Acosta,20/01/2021,50
San José,Acosta,21/01/2021,51
San José,Acosta,22/01/2021,52
San José,Acosta,23/01/2021,55
San José,Acosta,24/01/2021,57
San José,Acosta,25/01/2021,51
San José,Acosta,26/01/2021,50
San José,Acosta,27/01/2021,44
San José,Acosta,28/01/2021,46
San José,Acosta,29/01/2021,47
San José,Acosta,30/01/2021,50
San José,Acosta,31/01/2021,50
San José,Acosta,01/02/2021,52
San José,Acosta,02/02/2021,45
San José,Acosta,03/02/2021,46
San José,Acosta,04/02/2021,46
San José,Acosta,05/02/2021,45
San José,Acosta,06/02/2021,42
San José,Acosta,07/02/2021,42
San José,Acosta,08/02/2021,46
San José,Acosta,09/02/2021,48
San José,Acosta,10/02/2021,48
San José,Acosta,11/02/2021,44
San José,Acosta,12/02/2021,44
San José,Acosta,13/02/2021,45
San José,Acosta,14/02/2021,45
San José,Acosta,15/02/2021,43
San José,Acosta,16/02/2021,41
San José,Acosta,17/02/2021,41
San José,Acosta,18/02/2021,43
San José,Acosta,19/02/2021,44
San José,Acosta,20/02/2021,43
San José,Acosta,21/02/2021,41
San José,Acosta,22/02/2021,40
San José,Acosta,23/02/2021,30
San José,Acosta,24/02/2021,30
San José,Acosta,25/02/2021,31
San José,Acosta,26/02/2021,31
San José,Acosta,27/02/2021,31
San José,Acosta,28/02/2021,29
San José,Acosta,01/03/2021,29
San José,Acosta,02/03/2021,28
San José,Acosta,03/03/2021,28
San José,Acosta,04/03/2021,29
San José,Acosta,05/03/2021,28
San José,Acosta,06/03/2021,28
San José,Acosta,07/03/2021,28
San José,Acosta,08/03/2021,28
San José,Acosta,09/03/2021,28
San José,Acosta,10/03/2021,29
San José,Acosta,11/03/2021,37
San José,Acosta,12/03/2021,44
San José,Acosta,13/03/2021,45
San José,Acosta,14/03/2021,46
San José,Acosta,15/03/2021,47
San José,Acosta,16/03/2021,49
San José,Acosta,17/03/2021,51
San José,Acosta,18/03/2021,52
San José,Acosta,19/03/2021,54
San José,Acosta,20/03/2021,54
San José,Acosta,21/03/2021,54
San José,Acosta,22/03/2021,53
San José,Acosta,23/03/2021,53
San José,Acosta,24/03/2021,53
San José,Acosta,25/03/2021,55
San José,Acosta,26/03/2021,55
San José,Acosta,27/03/2021,57
San José,Acosta,28/03/2021,60
San José,Acosta,29/03/2021,37
San José,Acosta,30/03/2021,39
San José,Acosta,31/03/2021,41
San José,Acosta,01/04/2021,42
San José,Acosta,02/04/2021,42
San José,Acosta,03/04/2021,38
San José,Acosta,04/04/2021,38
San José,Acosta,05/04/2021,39
San José,Acosta,06/04/2021,40
San José,Acosta,07/04/2021,40
San José,Acosta,08/04/2021,44
San José,Acosta,09/04/2021,46
San José,Acosta,10/04/2021,48
San José,Acosta,11/04/2021,47
San José,Acosta,12/04/2021,46
San José,Acosta,13/04/2021,48
San José,Acosta,14/04/2021,48
San José,Acosta,15/04/2021,53
San José,Acosta,16/04/2021,54
San José,Acosta,17/04/2021,59
San José,Acosta,18/04/2021,60
San José,Acosta,19/04/2021,63
San José,Acosta,20/04/2021,64
San José,Acosta,21/04/2021,73
San José,Acosta,22/04/2021,75
San José,Acosta,23/04/2021,86
San José,Acosta,24/04/2021,93
San José,Acosta,25/04/2021,96
San José,Acosta,26/04/2021,85
San José,Acosta,27/04/2021,91
San José,Acosta,28/04/2021,93
San José,Acosta,29/04/2021,93
San José,Acosta,30/04/2021,101
San José,Acosta,01/05/2021,103
San José,Acosta,02/05/2021,107
San José,Acosta,03/05/2021,98
San José,Acosta,04/05/2021,112
San José,Acosta,05/05/2021,122
San José,Acosta,06/05/2021,129
San José,Acosta,07/05/2021,128
San José,Acosta,08/05/2021,132
San José,Acosta,09/05/2021,135
San José,Acosta,10/05/2021,143
San José,Acosta,11/05/2021,151
